mOTU ID	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)														
FJ_XM_bin_1	56.45	7.17	64.5	4793	2588099	683	2890	39149	0.878458856	k__Bacteria (UID3187)	190	0	d__Bacteria;p__Desulfobacterota_C;c__Deferrisomatia;o__Deferrisomatales;f__Deferrisomataceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction
FJ_XM_bin_10	95.53	2.421	68	21612	2154605	219	2350	75591	0.939371931	k__Bacteria (UID1453)	171	50	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__	
FJ_XM_bin_100	62.07	7.417	51.7	3362	1599227	503	1984	16783	0.912342802	c__Gammaproteobacteria (UID4267)	543	2.44	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Methylophaga;s__	
FJ_XM_bin_101	56.65	1.123	53.4	8329	1113723	157	1227	28688	0.911165726	c__Gammaproteobacteria (UID4443)	451	50	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__Porticoccus;s__Porticoccus sp006227015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
FJ_XM_bin_102	64.2	0.774	55.3	3087	1338706	469	1577	9886	0.896107054	k__Bacteria (UID2982)	230	25	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__Pontiellaceae;g__UBA5540;s__	d__Bacteria;p__Kiritimatiellaeota;c__;o__;f__;g__;s__	
FJ_XM_bin_103	78.77	1.098	39.8	9258	2335293	326	2258	44122	0.901723943	k__Bacteria (UID2495)	147	0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__QQUK01;s__	d__Bacteria;p__Calditrichaeota;c__;o__;f__;g__;s__	
FJ_XM_bin_104	52.58	0	48.1	10934	1558324	216	1524	51427	0.908598554	k__Bacteria (UID203)	104	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	
FJ_XM_bin_105	69.27	5.016	60.5	3952	2661021	744	3166	19715	0.897554685	f__Rhodobacteraceae (UID3360)	582	20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseobacter;s__	
FJ_XM_bin_107	79.38	3.378	63.8	6865	3505160	655	3337	22478	0.895734121	k__Bacteria (UID2982)	230	40	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLOV01;f__;g__;s__	d__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__;f__;g__;s__	
FJ_XM_bin_108	80.77	3.249	55.4	4795	2593353	629	2650	19055	0.926366583	k__Bacteria (UID2982)	230	25	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__;g__;s__	
