#BGC Name	Clan Number	Family Number
BGC0000472	6264	441
BGC0001505	6264	441
BGC0000554	6264	515
BGC0001100	6264	1028
BGC0002580	6264	2348
BGC0002629	6264	2389
FJ_XM_contig_10132429.region001	6264	2492
JS_LYG_contig_23132518.region001	6264	2492
FJ_XM_contig_10934369.region001	6264	2496
FJ_XM_contig_11520959.region001	6264	2503
FJ_XM_contig_1220094.region001	6264	2506
FJ_XM_contig_12307327.region001	6264	2507
FJ_XM_contig_12628977.region001	6264	2511
FJ_XM_contig_12644272.region001	6264	2512
FJ_XM_contig_1376143.region001	6264	2522
FJ_XM_contig_13798369.region001	6264	2523
FJ_XM_contig_14860809.region001	6264	2534
FJ_XM_contig_15383757.region001	6264	2539
JS_YC_contig_803029.region001	6264	2539
FJ_XM_contig_15465821.region001	6264	2540
FJ_XM_contig_16467898.region001	6264	2547
FJ_XM_contig_16504324.region001	6264	2548
FJ_XM_contig_17716403.region001	6264	2552
FJ_XM_contig_17826916.region001	6264	2554
FJ_XM_contig_18262670.region001	6264	2556
FJ_XM_contig_19139433.region001	6264	2557
FJ_XM_contig_19223643.region001	6264	2558
FJ_XM_contig_19990879.region001	6264	2563
FJ_XM_contig_20067532.region001	6264	2565
FJ_XM_contig_20498204.region001	6264	2566
FJ_XM_contig_20643007.region001	6264	2568
FJ_XM_contig_21334884.region001	6264	2572
LN_DD_contig_23232525.region001	6264	2572
ZJ_WZ_contig_18913357.region001	6264	2572
FJ_XM_contig_21774209.region001	6264	2577
FJ_XM_contig_22307446.region001	6264	2580
FJ_XM_contig_22390652.region001	6264	2581
FJ_XM_contig_22844587.region001	6264	2585
FJ_XM_contig_23143370.region001	6264	2588
FJ_XM_contig_23629094.region001	6264	2591
FJ_XM_contig_24106908.region001	6264	2596
FJ_XM_contig_24298658.region001	6264	2597
FJ_XM_contig_24932104.region001	6264	2601
FJ_XM_contig_25208659.region001	6264	2604
FJ_XM_contig_25903625.region001	6264	2606
FJ_XM_contig_26954048.region001	6264	2612
FJ_XM_contig_27987473.region001	6264	2622
FJ_XM_contig_28206625.region001	6264	2626
FJ_XM_contig_28702822.region001	6264	2631
FJ_XM_contig_29853511.region001	6264	2637
FJ_XM_contig_30525382.region001	6264	2639
FJ_XM_contig_31597628.region001	6264	2647
FJ_XM_contig_3182178.region001	6264	2650
FJ_XM_contig_32030627.region001	6264	2652
FJ_XM_contig_32306081.region001	6264	2656
FJ_XM_contig_32429716.region001	6264	2656
FJ_XM_contig_32672220.region001	6264	2661
FJ_XM_contig_34845728.region001	6264	2672
FJ_XM_contig_35444378.region001	6264	2676
FJ_XM_contig_35500370.region001	6264	2677
FJ_XM_contig_35543859.region001	6264	2678
FJ_XM_contig_36187405.region001	6264	2682
FJ_XM_contig_3673165.region001	6264	2685
FJ_XM_contig_4135743.region001	6264	2689
LN_DD_contig_11396579.region001	6264	2689
FJ_XM_contig_5957090.region001	6264	2705
FJ_XM_contig_6024946.region001	6264	2708
FJ_XM_contig_6093695.region001	6264	2709
FJ_XM_contig_6476499.region001	6264	2713
FJ_XM_contig_6733568.region001	6264	2716
JS_YC_contig_11977800.region001	6264	2716
LN_DD_contig_6882345.region001	6264	2716
SD_DY_contig_7691196.region001	6264	2716
ZJ_WZ_contig_7597468.region001	6264	2716
FJ_XM_contig_7002625.region001	6264	2723
GD_ZH_contig_17764897.region001	6264	2723
FJ_XM_contig_7439548.region001	6264	2730
FJ_XM_contig_7731299.region001	6264	2734
FJ_XM_contig_7781903.region001	6264	2737
FJ_XM_contig_7958171.region001	6264	2739
FJ_XM_contig_8612371.region001	6264	2746
FJ_XM_contig_8848932.region001	6264	2751
FJ_XM_contig_8942529.region001	6264	2752
GD_ST_contig_10015698.region001	6264	2757
GD_ST_contig_10174197.region001	6264	2765
GD_ST_contig_2368456.region001	6264	2765
GD_ST_contig_10493151.region001	6264	2770
GD_ST_contig_10589680.region001	6264	2772
SD_DY_contig_10810931.region001	6264	2772
SD_DY_contig_11888918.region001	6264	2772
SD_DY_contig_15713537.region001	6264	2772
SD_DY_contig_9689316.region001	6264	2772
GD_ST_contig_10718290.region001	6264	2776
GD_ST_contig_11382698.region001	6264	2788
GD_ST_contig_11661436.region001	6264	2794
GD_ST_contig_11720291.region001	6264	2796
GD_ST_contig_12733889.region001	6264	2811
GD_ST_contig_13841919.region001	6264	2830
GD_ST_contig_13853058.region001	6264	2831
GD_ST_contig_14026146.region001	6264	2833
GD_ST_contig_14122494.region001	6264	2834
GD_ST_contig_14275961.region001	6264	2835
GD_ST_contig_14512008.region001	6264	2839
GD_ST_contig_14565961.region001	6264	2841
GD_ST_contig_14793687.region001	6264	2850
GD_ST_contig_14919389.region001	6264	2853
GD_ST_contig_15044109.region001	6264	2855
GD_ST_contig_15235344.region001	6264	2860
GD_ST_contig_16019196.region001	6264	2871
GD_ST_contig_16219320.region001	6264	2873
GD_ST_contig_1674616.region001	6264	2884
GD_ST_contig_16912096.region001	6264	2889
GD_ST_contig_1692096.region001	6264	2890
GD_ST_contig_1713396.region001	6264	2895
GD_ST_contig_17231083.region001	6264	2901
GD_ST_contig_11447962.region001	6264	2904
GD_ST_contig_17505172.region001	6264	2904
FJ_XM_contig_3842960.region001	6264	2909
