#BGC Name	Family Number
BGC0001244	1158
BGC0001273	1177
BGC0001275	1178
BGC0001276	1178
BGC0002229	2029
FJ_XM_contig_1301060.region001	2513
FJ_XM_contig_20611118.region001	2567
FJ_XM_contig_31932252.region001	2651
GD_ST_contig_1013632.region001	2764
GD_ST_contig_11651659.region001	2793
GD_ST_contig_16384205.region001	2875
GD_ST_contig_22523714.region001	3017
GD_ST_contig_25077710.region001	3059
GD_ST_contig_3698558.region001	3103
GD_ST_contig_3743032.region001	3106
GD_ST_contig_4215149.region001	3114
GD_ST_contig_4545313.region001	3126
GD_ST_contig_8001360.region001	3201
GD_ST_contig_9620088.region001	3238
GD_ZH_contig_12608059.region001	3319
GD_ZH_contig_12848178.region001	3321
GD_ZH_contig_15565087.region001	3386
GD_ZH_contig_17082662.region001	3417
GD_ZH_contig_19876885.region001	3479
GD_ZH_contig_20125313.region001	3489
GD_ZH_contig_22791949.region001	3553
GD_ZH_contig_26040568.region001	3635
GD_ZH_contig_483696.region001	3699
GD_ZH_contig_8470785.region001	3784
GX_BH_contig_1259982.region001	3866
GX_BH_contig_13715591.region001	3885
GX_BH_contig_17041362.region001	3940
GX_BH_contig_18380140.region001	3956
GX_BH_contig_21884561.region001	4005
GX_BH_contig_22852833.region001	4023
GX_BH_contig_23512430.region001	4034
GX_BH_contig_2385964.region001	4039
GX_BH_contig_26876700.region001	4086
GX_BH_contig_33556611.region001	4169
GX_BH_contig_8697716.region001	4249
GX_BH_contig_934106.region001	4255
HN_SY_contig_10456665.region001	4280
HN_SY_contig_10462001.region001	4280
HN_SY_contig_10614803.region001	4284
HN_SY_contig_10684944.region001	4287
HN_SY_contig_11463148.region001	4318
HN_SY_contig_11802458.region001	4332
HN_SY_contig_13383647.region001	4383
HN_SY_contig_14233525.region001	4418
HN_SY_contig_14820268.region001	4428
HN_SY_contig_16416716.region001	4466
HN_SY_contig_16519170.region001	4468
HN_SY_contig_16607841.region001	4474
HN_SY_contig_19103292.region001	4531
HN_SY_contig_19559932.region001	4555
HN_SY_contig_196384.region001	4558
HN_SY_contig_19815272.region001	4564
HN_SY_contig_19851424.region001	4565
HN_SY_contig_21413985.region001	4607
HN_SY_contig_22747407.region001	4645
HN_SY_contig_2295134.region001	4653
HN_SY_contig_24632237.region001	4698
HN_SY_contig_24982678.region001	4702
HN_SY_contig_26347839.region001	4740
HN_SY_contig_26669597.region001	4749
HN_SY_contig_2673672.region001	4750
HN_SY_contig_26758384.region001	4751
HN_SY_contig_26998226.region001	4761
HN_SY_contig_27990413.region001	4798
HN_SY_contig_28670579.region001	4812
HN_SY_contig_29756454.region001	4864
HN_SY_contig_29860207.region001	4868
HN_SY_contig_30600118.region001	4884
HN_SY_contig_31180989.region001	4903
HN_SY_contig_3245820.region001	4931
HN_SY_contig_34044940.region001	4983
HN_SY_contig_34089575.region001	4986
HN_SY_contig_4681682.region001	5035
HN_SY_contig_7238635.region001	5107
HN_SY_contig_8114766.region001	5130
HN_SY_contig_8761116.region001	5145
HN_SY_contig_8860659.region001	5149
HN_SY_contig_9534048.region001	5171
HN_SY_contig_9687077.region001	5182
JS_LYG_contig_2968650.region001	5367
JS_LYG_contig_3124998.region001	5369
JS_LYG_contig_8268341.region001	5418
JS_YC_contig_10492816.region001	5453
JS_YC_contig_11094421.region001	5466
JS_YC_contig_1625486.region001	5584
JS_YC_contig_1809998.region001	5627
JS_YC_contig_18160161.region001	5629
JS_YC_contig_20679478.region001	5683
JS_YC_contig_20824077.region001	5687
JS_YC_contig_22129771.region001	5714
JS_YC_contig_26509841.region001	5790
JS_YC_contig_27829073.region001	5813
JS_YC_contig_5447320.region001	5879
JS_YC_contig_79837.region001	5945
JS_YC_contig_8175123.region001	5955
JS_YC_contig_8477030.region001	5963
LN_DD_contig_10401246.region001	6018
LN_DD_contig_10665073.region001	6023
LN_DD_contig_12092064.region001	6058
LN_DD_contig_12613988.region001	6067
LN_DD_contig_2167713.region001	6260
LN_DD_contig_2361160.region001	6299
LN_DD_contig_697604.region001	6453
LN_DD_contig_9113129.region001	6508
LN_DD_contig_9372458.region001	6516
SD_DY_contig_10152790.region001	6541
SD_DY_contig_10388393.region001	6571
SD_DY_contig_10960829.region001	6616
SD_DY_contig_11351072.region001	6653
SD_DY_contig_11596682.region001	6671
SD_DY_contig_12499949.region001	6742
SD_DY_contig_12625510.region001	6761
SD_DY_contig_13090631.region001	6795
SD_DY_contig_13725199.region001	6857
SD_DY_contig_1464072.region001	6926
SD_DY_contig_1490996.region001	6961
SD_DY_contig_1556731.region001	7033
SD_DY_contig_15861809.region001	7055
SD_DY_contig_17308658.region001	7175
SD_DY_contig_17944642.region001	7239
SD_DY_contig_18410132.region001	7281
SD_DY_contig_19458736.region001	7357
SD_DY_contig_22753031.region001	7660
SD_DY_contig_22927975.region001	7685
SD_DY_contig_23076623.region001	7698
SD_DY_contig_24258592.region001	7813
SD_DY_contig_2465230.region001	7853
SD_DY_contig_24752796.region001	7860
SD_DY_contig_24767791.region001	7862
SD_DY_contig_251487.region001	7894
SD_DY_contig_25658972.region001	7926
SD_DY_contig_2611000.region001	7963
SD_DY_contig_26515893.region001	7995
SD_DY_contig_26552498.region001	8000
SD_DY_contig_27124212.region001	8036
SD_DY_contig_27585569.region001	8096
SD_DY_contig_27831293.region001	8111
SD_DY_contig_28132835.region001	8144
SD_DY_contig_28544668.region001	8164
SD_DY_contig_28577150.region001	8169
SD_DY_contig_28979150.region001	8214
SD_DY_contig_18034758.region001	8277
SD_DY_contig_3409631.region001	8277
SD_DY_contig_3709028.region001	8295
SD_DY_contig_3709116.region001	8296
SD_DY_contig_3954198.region001	8327
SD_DY_contig_4620019.region001	8398
SD_DY_contig_4668749.region001	8405
SD_DY_contig_5169304.region001	8448
SD_DY_contig_5246523.region001	8469
SD_DY_contig_5387054.region001	8490
SD_DY_contig_5551579.region001	8501
SD_DY_contig_5931919.region001	8535
SD_DY_contig_5943918.region001	8537
SD_DY_contig_5954030.region001	8538
SD_DY_contig_9068045.region001	8538
SD_DY_contig_6184956.region001	8557
SD_DY_contig_6760610.region001	8600
SD_DY_contig_7828446.region001	8678
SD_DY_contig_8102158.region001	8704
SD_DY_contig_888517.region001	8779
SD_QD_contig_14762360.region001	8983
SD_QD_contig_186926.region001	9060
SD_QD_contig_25431053.region001	9176
SD_QD_contig_27834889.region001	9228
SD_QD_contig_3001166.region001	9255
SD_QD_contig_30180540.region001	9259
ZJ_NB_contig_10389365.region001	9404
ZJ_NB_contig_1486200.region001	9474
