#BGC Name	Family Number
BGC0000472	441
BGC0001505	441
BGC0002629	441
HN_SY_contig_7077247.region001	441
BGC0002580	2348
HN_SY_contig_21369360.region001	2348
FJ_XM_contig_10132429.region001	2492
JS_LYG_contig_23132518.region001	2492
FJ_XM_contig_10934369.region001	2496
FJ_XM_contig_12307327.region001	2507
FJ_XM_contig_12628977.region001	2511
FJ_XM_contig_12644272.region001	2512
FJ_XM_contig_1376143.region001	2522
FJ_XM_contig_13798369.region001	2523
FJ_XM_contig_14860809.region001	2534
FJ_XM_contig_15465821.region001	2540
FJ_XM_contig_16467898.region001	2547
FJ_XM_contig_17716403.region001	2552
FJ_XM_contig_17826916.region001	2554
FJ_XM_contig_18262670.region001	2556
FJ_XM_contig_19139433.region001	2557
FJ_XM_contig_19990879.region001	2563
FJ_XM_contig_20067532.region001	2565
FJ_XM_contig_20498204.region001	2566
FJ_XM_contig_21334884.region001	2572
LN_DD_contig_23232525.region001	2572
ZJ_WZ_contig_18913357.region001	2572
FJ_XM_contig_21774209.region001	2577
FJ_XM_contig_22307446.region001	2580
FJ_XM_contig_22844587.region001	2585
FJ_XM_contig_23143370.region001	2588
HN_SY_contig_26825471.region001	2588
FJ_XM_contig_25208659.region001	2604
FJ_XM_contig_25903625.region001	2606
FJ_XM_contig_26954048.region001	2612
FJ_XM_contig_27987473.region001	2622
FJ_XM_contig_28206625.region001	2626
FJ_XM_contig_29853511.region001	2637
FJ_XM_contig_30525382.region001	2639
FJ_XM_contig_31597628.region001	2647
HN_SY_contig_29426216.region001	2647
JS_LYG_contig_14296752.region001	2647
JS_YC_contig_9218460.region001	2647
SD_DY_contig_9015556.region001	2647
FJ_XM_contig_3182178.region001	2650
FJ_XM_contig_32030627.region001	2652
FJ_XM_contig_32672220.region001	2661
FJ_XM_contig_34845728.region001	2672
FJ_XM_contig_35444378.region001	2676
FJ_XM_contig_35500370.region001	2677
FJ_XM_contig_35543859.region001	2678
FJ_XM_contig_36187405.region001	2682
FJ_XM_contig_3673165.region001	2685
FJ_XM_contig_3842960.region001	2686
GD_ST_contig_1771940.region001	2686
GD_ZH_contig_19962963.region001	2686
GX_BH_contig_22782130.region001	2686
SD_QD_contig_28664982.region001	2686
ZJ_NB_contig_1819021.region001	2686
ZJ_WZ_contig_21799033.region001	2686
FJ_XM_contig_4135743.region001	2689
LN_DD_contig_11396579.region001	2689
FJ_XM_contig_5957090.region001	2705
FJ_XM_contig_6024946.region001	2708
FJ_XM_contig_6093695.region001	2709
FJ_XM_contig_6476499.region001	2713
FJ_XM_contig_6477439.region001	2714
GX_BH_contig_6870244.region001	2714
JS_YC_contig_23397949.region001	2714
SD_QD_contig_21723234.region001	2714
FJ_XM_contig_7002625.region001	2723
GD_ZH_contig_17764897.region001	2723
FJ_XM_contig_7439548.region001	2730
FJ_XM_contig_7731299.region001	2734
FJ_XM_contig_7781903.region001	2737
FJ_XM_contig_7958171.region001	2739
FJ_XM_contig_8612371.region001	2746
FJ_XM_contig_8618480.region001	2747
GD_ST_contig_2536127.region001	2747
JS_YC_contig_8132437.region001	2747
FJ_XM_contig_8848932.region001	2751
FJ_XM_contig_8942529.region001	2752
GD_ST_contig_10015698.region001	2757
GD_ST_contig_10174197.region001	2765
GD_ST_contig_2368456.region001	2765
GD_ST_contig_10493151.region001	2770
GD_ST_contig_10589680.region001	2772
SD_DY_contig_10810931.region001	2772
SD_DY_contig_11888918.region001	2772
SD_DY_contig_15713537.region001	2772
SD_DY_contig_9689316.region001	2772
GD_ST_contig_10718290.region001	2776
GD_ST_contig_11382698.region001	2788
GD_ST_contig_11661436.region001	2794
GD_ST_contig_11720291.region001	2796
GD_ST_contig_13853058.region001	2831
GD_ST_contig_14512008.region001	2839
GD_ST_contig_14565961.region001	2841
GD_ST_contig_14793687.region001	2850
GD_ST_contig_14919389.region001	2853
GD_ST_contig_15235344.region001	2860
GD_ST_contig_16019196.region001	2871
GD_ST_contig_1674616.region001	2884
GD_ST_contig_16912096.region001	2889
JS_YC_contig_16058719.region001	2889
GD_ST_contig_1713396.region001	2895
GD_ST_contig_11447962.region001	2904
GD_ST_contig_17505172.region001	2904
GX_BH_contig_10690181.region001	2904
