#BGC Name	Family Number
BGC0001831	1795
BGC0001964	1795
FJ_XM_contig_36007956.region001	2498
GD_ZH_contig_10806400.region001	2517
GD_ZH_contig_11569046.region001	2524
GD_ZH_contig_15621398.region001	2536
GD_ZH_contig_20047269.region001	2550
GD_ZH_contig_20448458.region001	2552
SD_DY_contig_774650.region001	2552
GD_ZH_contig_21355347.region001	2558
GD_ZH_contig_8519078.region001	2604
GX_BH_contig_12122827.region001	2613
GX_BH_contig_6745036.region001	2647
HN_SY_contig_17845991.region001	2662
HN_SY_contig_29728826.region001	2669
JS_YC_contig_22543303.region001	2737
JS_YC_contig_22671485.region001	2738
ZJ_NB_contig_22466019.region001	2738
JS_YC_contig_23330129.region001	2741
LN_DD_contig_10836693.region002	2780
LN_DD_contig_10929269.region001	2781
SD_DY_contig_11889987.region001	2828
SD_DY_contig_13224212.region001	2834
SD_DY_contig_1499571.region001	2841
SD_DY_contig_2231221.region002	2873
SD_DY_contig_22389157.region001	2875
SD_DY_contig_2357354.region001	2885
SD_DY_contig_24549765.region001	2892
SD_DY_contig_25831887.region001	2898
SD_DY_contig_26172748.region001	2901
SD_DY_contig_2944661.region001	2912
SD_DY_contig_3817580.region001	2915
SD_DY_contig_4503502.region001	2917
SD_DY_contig_5213305.region001	2920
SD_QD_contig_809665.region001	2993
ZJ_NB_contig_15306841.region001	3011
ZJ_NB_contig_4556953.region001	3041
ZJ_WZ_contig_549677.region001	3126
ZJ_WZ_contig_6703974.region001	3135
ZJ_WZ_contig_9598932.region001	3142
