mOTU ID	BGC	GTDB taxonomy
GD_ST_bin_114	GD_ST_contig_17776347.region001	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__Mxb001;s__
GD_ST_bin_114	GD_ST_contig_11186262.region001	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__Mxb001;s__
FJ_XM_bin_65	FJ_XM_contig_12572442.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salinimicrobium;s__
FJ_XM_bin_36	FJ_XM_contig_10128802.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__
FJ_XM_bin_36	FJ_XM_contig_35297930.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__
FJ_XM_bin_33	FJ_XM_contig_19654613.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__
FJ_XM_bin_33	FJ_XM_contig_13316343.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__
FJ_XM_bin_4	FJ_XM_contig_22235730.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__QNYL01;s__
FJ_XM_bin_4	FJ_XM_contig_14116899.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__QNYL01;s__
FJ_XM_bin_4	FJ_XM_contig_33197197.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__QNYL01;s__
FJ_XM_bin_119	FJ_XM_contig_35543859.region001	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLAD01;f__WLWN01;g__;s__
FJ_XM_bin_119	FJ_XM_contig_36007956.region001	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLAD01;f__WLWN01;g__;s__
FJ_XM_bin_119	FJ_XM_contig_23820639.region001	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLAD01;f__WLWN01;g__;s__
FJ_XM_bin_119	FJ_XM_contig_22614251.region001	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLAD01;f__WLWN01;g__;s__
FJ_XM_bin_95	FJ_XM_contig_8178139.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAADJA01;g__JAADJA01;s__
FJ_XM_bin_95	FJ_XM_contig_7439548.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAADJA01;g__JAADJA01;s__
GD_ST_bin_121	GD_ST_contig_693147.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__SZUA-547;s__
GD_ST_bin_121	GD_ST_contig_16019196.region001	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__SZUA-547;s__
FJ_XM_bin_8	FJ_XM_contig_491829.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__B8-G4;s__
FJ_XM_bin_8	FJ_XM_contig_32716294.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__B8-G4;s__
FJ_XM_bin_8	FJ_XM_contig_27385135.region001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__B8-G4;s__
