#BGC Name	Family Number
BGC0000457	428
ZJ_WZ_contig_6403591.region001	428
BGC0000984	920
GX_BH_contig_21884561.region001	920
BGC0002001	2199
BGC0002417	2199
BGC0002419	2199
BGC0002420	2199
FJ_XM_contig_10026664.region001	2489
FJ_XM_contig_11914131.region001	2504
GD_ZH_contig_5428584.region001	2504
FJ_XM_contig_1417584.region001	2526
HN_SY_contig_1206274.region001	2526
HN_SY_contig_13125604.region001	2526
HN_SY_contig_20838049.region001	2526
HN_SY_contig_2816478.region001	2526
HN_SY_contig_32719947.region001	2526
HN_SY_contig_9948807.region001	2526
JS_YC_contig_10194482.region002	2526
JS_YC_contig_15802765.region001	2526
ZJ_NB_contig_20327000.region001	2526
ZJ_NB_contig_3689460.region001	2526
ZJ_WZ_contig_5196499.region001	2526
FJ_XM_contig_16947558.region001	2549
FJ_XM_contig_18156980.region001	2555
FJ_XM_contig_21458767.region001	2575
FJ_XM_contig_23651043.region001	2592
FJ_XM_contig_28579114.region001	2628
FJ_XM_contig_31709363.region001	2648
HN_SY_contig_11457602.region001	2648
FJ_XM_contig_31817658.region001	2649
FJ_XM_contig_4131137.region001	2688
FJ_XM_contig_542069.region001	2701
GD_ZH_contig_10928090.region001	2701
ZJ_WZ_contig_20328314.region001	2701
FJ_XM_contig_6457621.region001	2712
FJ_XM_contig_7275413.region001	2727
GD_ST_contig_10089588.region001	2761
GD_ST_contig_10353353.region001	2766
GD_ST_contig_10487637.region001	2768
GD_ST_contig_1053238.region001	2771
GD_ST_contig_10729958.region001	2777
GD_ST_contig_10791338.region001	2778
GD_ST_contig_11007667.region001	2780
GD_ST_contig_11039510.region001	2784
GD_ST_contig_11769222.region001	2797
GD_ST_contig_12181032.region001	2800
GD_ST_contig_12460966.region001	2806
GD_ST_contig_12505129.region001	2807
GD_ST_contig_12711489.region001	2809
GD_ST_contig_1276129.region001	2813
GD_ST_contig_12814148.region001	2814
GD_ST_contig_12849220.region001	2816
GD_ST_contig_13278436.region001	2823
