#BGC Name	Family Number
FJ_XM_contig_31709363.region001	2648
GD_ST_contig_1354545.region001	2828
GD_ST_contig_18468763.region001	2926
GD_ST_contig_25408909.region001	3066
GD_ST_contig_4570696.region001	3127
GD_ZH_contig_14646968.region001	3363
GD_ZH_contig_19026610.region001	3463
GD_ZH_contig_19401025.region001	3471
GD_ZH_contig_21355347.region001	3522
GD_ZH_contig_25253034.region001	3617
GD_ZH_contig_26086731.region001	3637
GX_BH_contig_13703313.region001	3884
GX_BH_contig_20070369.region001	3979
GX_BH_contig_24636413.region001	3979
GX_BH_contig_6745036.region001	4222
HN_SY_contig_11457602.region001	4317
HN_SY_contig_12128493.region001	4338
HN_SY_contig_12602381.region001	4353
HN_SY_contig_13936120.region001	4403
HN_SY_contig_15273269.region001	4441
HN_SY_contig_16401518.region001	4465
HN_SY_contig_17438177.region001	4485
HN_SY_contig_17845991.region001	4499
HN_SY_contig_19070369.region001	4529
HN_SY_contig_30427448.region001	4876
HN_SY_contig_30905780.region001	4896
HN_SY_contig_31387502.region001	4908
HN_SY_contig_32580600.region001	4935
HN_SY_contig_33270567.region001	4960
HN_SY_contig_34037873.region001	4982
HN_SY_contig_4156267.region001	5022
HN_SY_contig_7975367.region001	5122
HN_SY_contig_9461395.region001	5168
HN_SY_contig_9588364.region001	5175
JS_LYG_contig_23105294.region001	5341
JS_LYG_contig_5775405.region001	5396
JS_YC_contig_1069663.region001	5456
JS_YC_contig_11152028.region001	5469
JS_YC_contig_11163053.region001	5470
JS_YC_contig_556362.region001	5884
JS_YC_contig_6298004.region001	5904
JS_YC_contig_7254219.region001	5927
JS_YC_contig_978821.region001	6005
LN_DD_contig_14186534.region001	6100
LN_DD_contig_18364514.region001	6184
LN_DD_contig_6128622.region001	6438
SD_DY_contig_10477273.region001	6577
SD_DY_contig_10698569.region001	6596
SD_DY_contig_11433142.region001	6661
SD_DY_contig_12302495.region001	6727
SD_DY_contig_13960478.region001	6872
SD_DY_contig_14081871.region001	6891
SD_DY_contig_14637379.region001	6925
SD_DY_contig_15002713.region001	6973
SD_DY_contig_1588315.region001	7057
SD_DY_contig_1601799.region001	7066
SD_DY_contig_18297756.region001	7263
SD_DY_contig_18395153.region001	7279
SD_DY_contig_20683862.region001	7457
SD_DY_contig_22209241.region001	7601
SD_DY_contig_22874975.region001	7679
SD_DY_contig_2330440.region001	7717
SD_DY_contig_23405342.region001	7723
SD_DY_contig_24186645.region001	7801
SD_DY_contig_25164136.region001	7896
SD_DY_contig_2521866.region001	7900
SD_DY_contig_25913367.region001	7951
SD_DY_contig_26334165.region001	7977
SD_DY_contig_27901514.region001	8123
SD_DY_contig_1121898.region001	8308
SD_DY_contig_3808148.region001	8308
SD_DY_contig_4098215.region001	8343
SD_DY_contig_4960166.region001	8432
SD_DY_contig_5968679.region001	8541
SD_DY_contig_7383501.region001	8638
SD_DY_contig_8419529.region001	8748
SD_DY_contig_8835867.region001	8774
SD_DY_contig_9831913.region001	8878
SD_QD_contig_1019471.region001	8896
SD_QD_contig_13426649.region001	8958
SD_QD_contig_15919778.region001	9000
SD_QD_contig_18975802.region001	9067
SD_QD_contig_27933879.region001	9230
SD_QD_contig_30781293.region001	9267
SD_QD_contig_30820424.region001	9270
SD_QD_contig_820971.region001	9367
ZJ_NB_contig_15306841.region001	9483
ZJ_NB_contig_18088579.region001	9527
ZJ_NB_contig_2520516.region001	9619
ZJ_NB_contig_25947745.region001	9636
ZJ_NB_contig_8912720.region001	9776
ZJ_WZ_contig_13509100.region001	9870
ZJ_WZ_contig_14324258.region001	9885
ZJ_WZ_contig_25289178.region001	10100
ZJ_WZ_contig_549677.region001	10201
