BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000014	BGC0000014	Polyangium cellulosum strain So ce10 histidine kinase response regulator gene, partial cds; hypothetical protein genes, complete cds; ambruticin gene cluster, complete sequence; and hypothetical protein genes, complete cds	T1PKS.NRPS-like	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000020	BGC0000020	Actinosynnema pretiosum subsp. auranticum maytansinoid antitumor agent ansamitocin biosynthetic gene cluster I, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. auranticum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000034	BGC0000034	Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces sp. FR-008	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000064	BGC0000064	Gibberella fujikuroi FUSS (fusA) gene, complete cds	NRPS.T1PKS	PKS-NRP_Hybrids	Fusarium verticillioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000066	BGC0000066	Streptomyces hygroscopicus strain NRRL 3602 geldanamycin biosynthesis gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000067	BGC0000067	Streptomyces hygroscopicus subsp. duamyceticus strain JCM4427 geldanamycin biosynthesis gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces hygroscopicus subsp. duamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000074	BGC0000074	Streptomyces hygroscopicus strain AM 3672 herbimycin polyketide biosynthetic gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000075	BGC0000075	Streptomyces sp. LZ35 hygrocin biosynthetic gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000081	BGC0000081	Streptoalloteichus sp. ATCC 53650 kedarcidin biosynthetic gene cluster, complete sequence	T1PKS.NRPS.NRPS-like.arylpolyene	Others	Streptoalloteichus sp. ATCC 53650	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus,unclassified Streptoalloteichus
BGC0000090	BGC0000090	Actinosynnema pretiosum subsp. pretiosum strain ATCC 31280 macbecin biosynthesis gene cluster, complete sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. pretiosum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000091	BGC0000091	Streptomyces sp. CNQ-617 marineosin biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS.prodigiosin	PKS-NRP_Hybrids	Streptomyces sp. CNQ-617	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000106	BGC0000106	Streptomyces sp. CS naphthomycin biosynthetic gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces sp. CS	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000108	BGC0000108	Streptomyces chattanoogensis strain L10 natamycin biosynthetic gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces chattanoogensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000122	BGC0000122	Nannocystis pusilla strain B150 phenylnannolone gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Nannocystis pusilla	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,Nannocystaceae,Nannocystis
BGC0000125	BGC0000125	Streptomyces natalensis pimaricin biosynthetic gene cluster	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces natalensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000136	BGC0000136	Amycolatopsis mediterranei rifamycin biosynthetic gene cluster	T1PKS.NRPS-like	PKS-NRP_Hybrids	Amycolatopsis mediterranei S699	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000137	BGC0000137	Salinispora arenicola CNS-205, complete genome	T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000138	BGC0000138	Streptomyces diastaticus polyketide rim gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces diastaticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces diastaticus group
BGC0000141	BGC0000141	Streptomyces achromogenes subsp. rubradiris complete rubradirin gene cluster, strain NRRL 3061	T1PKS.aminocoumarin.NRPS-like	Others	Streptomyces rubradiris	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000145	BGC0000145	Salinispora tropica strain CNB-476 salinosporamide A biosynthetic gene cluster, partial sequence	T1PKS.transAT-PKS-like.NRPS-like	PKS-NRP_Hybrids	Salinispora tropica	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000150	BGC0000150	Salinispora tropica CNB-440, complete genome	T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000175	BGC0000175	Streptomyces sp. YIM 56141 hypothetical protein genes, complete cds; cycloheximide biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	transAT-PKS.NRPS-like.lanthipeptide-class-iv	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000178	BGC0000178	Chitinophaga sancti major facilitator superfamily protein gene, complete cds; and biosynthesis gene cluster, complete sequence	transAT-PKS.T3PKS.PKS-like.NRPS-like	PKS-NRP_Hybrids	Chitinophaga sancti	Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
BGC0000180	BGC0000180	Legionella parisiensis strain ATCC 35299 lgl gene cluster, complete sequence	NRPS-like.transAT-PKS-like	PKS-NRP_Hybrids	Legionella parisiensis	Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BGC0000186	BGC0000186	Burkholderia thailandensis E264 chromosome II, complete sequence	transAT-PKS.NRPS.PKS-like	PKS-NRP_Hybrids	Burkholderia thailandensis E264	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei group
BGC0000257	BGC0000257	Streptomyces griseoviridis DNA, includes prodigiosin biosynthetic gene cluster, strain: 2464-S5	NRPS-like.T1PKS.prodigiosin	PKS-NRP_Hybrids	Streptomyces griseoviridis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000287	BGC0000287	Pseudomonas aeruginosa PAO1, complete genome	NRPS	NRPS	Pseudomonas aeruginosa PAO1	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000288	BGC0000288	Streptomyces sp. SANK 62799 DNA, A-503083 biosynthetic gene cluster region, complete cds	NRPS.blactam	Others	Streptomyces sp. SANK 62799	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000289	BGC0000289	Actinomadura sp. ATCC 39727 gene cluster for biosynthesis of glycopeptide antibiotic A40926, strain ATCC 39727	NRPS.T3PKS	PKS-NRP_Hybrids	Nonomuraea gerenzanensis	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
BGC0000290	BGC0000290	Streptomyces toyocaensis strain NRRL 15009 biosynthetic gene cluster A47934, complete sequence	NRPS.T3PKS	PKS-NRP_Hybrids	Streptomyces toyocaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000291	BGC0000291	Streptomyces fradiae strain NRRL18158 lipopeptide antibiotic A54145 biosynthetic gene cluster, complete sequence	NRPS-like.NRPS	NRPS	Streptomyces fradiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000292	BGC0000292	Aspergillus terreus NIH2624 scaffold_4 genomic scaffold, whole genome shotgun sequence	NRPS	NRPS	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000293	BGC0000293	Neosartorya fischeri NRRL 181 1099437636266 genomic scaffold, whole genome shotgun sequence	NRPS.indole	Others	Aspergillus fischeri NRRL 181	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Fumigati
BGC0000296	BGC0000296	Streptomyces anulatus actinomycin biosynthetic gene cluster, partial sequence	NRPS	NRPS	Streptomyces anulatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000297	BGC0000297	Planktothrix agardhii NIVA-CYA 126 aeruginoside biosynthesis gene cluster	NRPS.NRPS-like	NRPS	Planktothrix agardhii NIVA-CYA 126	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000298	BGC0000298	Microcystis aeruginosa NIES-98 aeruginosin synthetase gene cluster, complete sequence	NRPS.NRPS-like	NRPS	Microcystis aeruginosa NIES-98	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000300	BGC0000300	Streptomyces sp. AA4 genomic scaffold supercont1.1, whole genome shotgun sequence	NRPS	NRPS	Streptomyces sp. AA4	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000301	BGC0000301	Planktothrix agardhii NIVA-CYA 126/8 anabaenopeptin biosynthesis gene cluster, complete sequence	NRPS	NRPS	Planktothrix agardhii NIVA-CYA 126/8	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000302	BGC0000302	Anabaena sp. 90 anabaenopeptin biosynthesis gene cluster, complete sequence	NRPS.betalactone	Others	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena,unclassified Anabaena
BGC0000303	BGC0000303	Streptomyces refuineus subsp. thermotolerans anthramycin biosynthetic gene cluster, partial sequence	NRPS-like.NRPS	NRPS	Streptomyces refuineus subsp. thermotolerans	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000304	BGC0000304	Fusarium incarnatum apicidin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Fusarium incarnatum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium incarnatum-equiseti species complex
BGC0000305	BGC0000305	Pseudomonas sp. MIS38 orf1, arfA, arfB, arfC, orf5, orf6 genes for putative DNA binding protein, arthrofactin synthetase A, arthrofactin synthetase B, arthrofactin synthetase C, putative periplasmic protein, putative ABC transporter protein, complete and partial cds	NRPS	NRPS	Pseudomonas sp. MIS38	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000306	BGC0000306	Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS	NRPS	Streptomyces filamentosus NRRL 11379	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000307	BGC0000307	Aureobasidium pullulans strain BP-1938 aureobasidin A1 biosynthesis complex (aba1) gene, complete cds	NRPS	NRPS	Aureobasidium pullulans	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium
BGC0000308	BGC0000308	Staphylococcus aureus subsp. aureus str. JKD6008, complete genome	NRPS	NRPS	Staphylococcus aureus subsp. aureus str. JKD6008	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000309	BGC0000309	Bacillus subtilis subsp. subtilis str. 168 complete genome	NRPS	NRPS	Bacillus subtilis subsp. subtilis str. 168	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000310	BGC0000310	Bacillus licheniformis bacitracin synthetase operon, complete sequence; BacS (bacS), BcrA (bcrA), BcrB (bcrB), and BcrC (bcrC) genes, complete cds	NRPS	NRPS	Bacillus licheniformis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000311	BGC0000311	Amycolatopsis balhimycina biosynthetic gene cluster for balhimycin, strain DSM 5908	NRPS.T3PKS.NRPS-like	PKS-NRP_Hybrids	Amycolatopsis balhimycina DSM 5908	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000312	BGC0000312	Beauveria bassiana strain ATCC 7159 bassianolide biosynthetic gene locus, partial sequence	NRPS	NRPS	Beauveria bassiana	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Beauveria
BGC0000313	BGC0000313	Beauveria bassiana strain ATCC 7159 beauvericin biosynthetic gene locus, complete sequence	NRPS	NRPS	Beauveria bassiana	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Beauveria
BGC0000314	BGC0000314	Pseudoalteromonas piscicida JCM 20779 Ppis_ctg002, whole genome shotgun sequence	NRPS.ladderane	Others	Pseudoalteromonas piscicida JCM 20779	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
BGC0000315	BGC0000315	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000316	BGC0000316	Saccharothrix mutabilis subsp. capreolus capreomycin biosynthetic gene cluster, complete sequence	NRPS.NRPS-like	NRPS	Saccharothrix mutabilis subsp. capreolus	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix
BGC0000319	BGC0000319	Streptomyces clavuligerus ATCC 27064 supercont1.1 genomic scaffold, whole genome shotgun sequence	NRPS	NRPS	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000320	BGC0000320	Bacillus cereus plasmid pBCE4810 hypothetical protein, CAAX amino terminal protease, and pXO-14-like conserved protein genes, complete cds; cereulide synthetase gene cluster, complete sequence; pXO-11-like hypothetical protein, reverse transcriptase, and pXO1-10-like hypothetical protein genes, complete cds; and pXO1-8-like hypothetical protein gene, partial cds	NRPS	NRPS	Bacillus cereus	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
BGC0000321	BGC0000321	UNVERIFIED: Chaetomium virescens strain ATCC 26417 chaetocin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Achaetomiella virescens	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Achaetomiella
BGC0000322	BGC0000322	Amycolatopsis orientalis cosmid PCZA363	NRPS	NRPS	Amycolatopsis orientalis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000323	BGC0000323	Pseudomonas cichorii cichofactin biosynthesis gene cluster, complete sequence	NRPS	NRPS	Pseudomonas cichorii	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000324	BGC0000324	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000325	BGC0000325	Streptomyces coelicolor A3(2) complete genome	NRPS	NRPS	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000326	BGC0000326	Streptomyces lavendulae complestatin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Streptomyces lavendulae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000327	BGC0000327	Streptomyces ambofaciens ATCC 23877 right chromosomal arm	NRPS	NRPS	Streptomyces ambofaciens ATCC 23877	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000328	BGC0000328	Pseudomonas savastanoi pv. glycinea plasmid p4180A CmaD, CmaE, CmaA, CmaB, CmaC, CmaT, alanyl tRNA synthetase related protein, and CmaU genes, complete cds	NRPS-like	NRPS	Pseudomonas savastanoi pv. glycinea	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000329	BGC0000329	Pseudomonas corrugata strain CFBP 5454 transcriptional activator protein (pcoR), putative membrane protein (rhtB), acyl-homoserine lactone synthase (pcoI), and RfiA (rfiA) genes, complete cds; pcoABC efflux system operon, complete sequence; putative diaminobutyrate-2-oxoglutarate transaminase protein, ABC transporter protein (crpE), and membrane fusion protein (crpD) genes, complete cds; and non ribosomal peptide synthetase (crpC) gene, partial cds	NRPS.hserlactone	Others	Pseudomonas corrugata	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000330	BGC0000330	Ralstonia eutropha H16 chromosome 2	NRPS	NRPS	Cupriavidus necator H16	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus
BGC0000331	BGC0000331	Planktothrix agardhii NIVA-CYA 116 cyanopeptin oci gene cluster, complete sequence	NRPS	NRPS	Planktothrix agardhii NIVA-CYA 116	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000332	BGC0000332	Microcystis sp. NIVA-CYA 172/5 cyanopeptolin synthetase gene cluster, complete sequence	NRPS	NRPS	Microcystis sp. NIVA-CYA 172/5	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000333	BGC0000333	Salinispora arenicola CNS-205, complete genome	NRPS.betalactone.indole	Others	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000334	BGC0000334	Tolypocladium inflatum strain NRRL 8044 unitig_4, whole genome shotgun sequence	NRPS.T1PKS	PKS-NRP_Hybrids	Tolypocladium inflatum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Tolypocladium
BGC0000335	BGC0000335	Cystobacter fuscus strain MCy9118 cystomanamide biosynthesis gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Cystobacter fuscus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Cystobacter
BGC0000336	BGC0000336	Streptomyces filamentosus strain NRRL 11379 daptomycin biosynthetic gene cluster, partial sequence	NRPS	NRPS	Streptomyces filamentosus NRRL 11379	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000337	BGC0000337	Metarhizium anisopliae ARSEF 23 unplaced genomic scaffold Scf_050, whole genome shotgun sequence	NRPS	NRPS	Metarhizium robertsii ARSEF 23	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,mitosporic Clavicipitaceae,Metarhizium
BGC0000339	BGC0000339	Streptomyces lasaliensis gene cluster(ecm1, ecm2, ecm3, ecm4, ecm5, ecm6, ecm7, ecm8, ecm9, ecm10, ecm11, ecm12, ecm13, ecm14, ecm15, ecm16, ecm17, ecm18), complete cds	NRPS.NRPS-like	NRPS	Streptomyces lasalocidi	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000340	BGC0000340	Streptomyces sp. LZ35 echosides biosynthetic gene cluster, complete sequence	NRPS-like	NRPS	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
