#BGC Name	Family Number
FJ_XM_contig_10026664.region001	2489
FJ_XM_contig_10132429.region001	2492
JS_LYG_contig_23132518.region001	2492
FJ_XM_contig_10675464.region001	2495
FJ_XM_contig_10934369.region001	2496
FJ_XM_contig_11001222.region001	2497
FJ_XM_contig_11120126.region001	2500
FJ_XM_contig_6807031.region001	2500
GD_ST_contig_15390283.region001	2500
GD_ST_contig_18008730.region001	2500
HN_SY_contig_16545206.region001	2500
HN_SY_contig_33074125.region001	2500
HN_SY_contig_33458150.region001	2500
FJ_XM_contig_11914131.region001	2504
GD_ZH_contig_5428584.region001	2504
FJ_XM_contig_12307327.region001	2507
FJ_XM_contig_12462442.region001	2508
FJ_XM_contig_12505267.region001	2509
FJ_XM_contig_12628977.region001	2511
FJ_XM_contig_12644272.region001	2512
FJ_XM_contig_1301060.region001	2513
FJ_XM_contig_13095689.region001	2514
FJ_XM_contig_13101700.region001	2515
HN_SY_contig_26440480.region001	2515
JS_YC_contig_15248287.region001	2515
JS_YC_contig_15672364.region001	2515
LN_DD_contig_12982712.region001	2515
LN_DD_contig_395633.region001	2515
SD_QD_contig_23533362.region001	2515
FJ_XM_contig_13288344.region001	2517
FJ_XM_contig_10128802.region001	2518
FJ_XM_contig_13316343.region001	2518
FJ_XM_contig_7801046.region001	2518
GD_ST_contig_20467069.region001	2518
JS_YC_contig_14911236.region001	2518
FJ_XM_contig_13514961.region001	2519
FJ_XM_contig_1376143.region001	2522
FJ_XM_contig_13798369.region001	2523
FJ_XM_contig_14091814.region001	2524
FJ_XM_contig_1417584.region001	2526
HN_SY_contig_13125604.region001	2526
HN_SY_contig_20838049.region001	2526
HN_SY_contig_27580966.region001	2526
HN_SY_contig_9948807.region001	2526
JS_YC_contig_15802765.region001	2526
ZJ_WZ_contig_26325338.region001	2526
ZJ_WZ_contig_5196499.region001	2526
FJ_XM_contig_14531313.region001	2529
FJ_XM_contig_26094985.region001	2529
GX_BH_contig_8258090.region001	2529
LN_DD_contig_9803951.region001	2529
