#BGC Name	Family Number
FJ_XM_contig_11120126.region001	2500
FJ_XM_contig_6807031.region001	2500
GD_ST_contig_15390283.region001	2500
GD_ST_contig_18008730.region001	2500
HN_SY_contig_16545206.region001	2500
HN_SY_contig_33074125.region001	2500
HN_SY_contig_33458150.region001	2500
FJ_XM_contig_12462442.region001	2508
FJ_XM_contig_13095689.region001	2514
FJ_XM_contig_10128802.region001	2518
FJ_XM_contig_13316343.region001	2518
FJ_XM_contig_7801046.region001	2518
GD_ST_contig_20467069.region001	2518
JS_YC_contig_14911236.region001	2518
FJ_XM_contig_14091814.region001	2524
FJ_XM_contig_15560417.region001	2542
FJ_XM_contig_1588118.region001	2545
FJ_XM_contig_31473531.region001	2545
JS_LYG_contig_11080426.region001	2545
FJ_XM_contig_1768250.region001	2551
GD_ZH_contig_22547170.region001	2551
GD_ZH_contig_23262796.region001	2551
JS_YC_contig_8477817.region001	2551
LN_DD_contig_11365692.region001	2551
LN_DD_contig_22537868.region001	2551
SD_QD_contig_17562319.region001	2551
ZJ_NB_contig_3442412.region002	2551
ZJ_WZ_contig_27062970.region001	2551
ZJ_WZ_contig_3869886.region001	2551
FJ_XM_contig_19285400.region001	2559
GD_ST_contig_19026638.region001	2559
ZJ_NB_contig_5399620.region001	2559
FJ_XM_contig_21359247.region001	2574
FJ_XM_contig_22218608.region001	2578
FJ_XM_contig_22235730.region001	2579
FJ_XM_contig_22694573.region001	2583
FJ_XM_contig_2272099.region001	2584
FJ_XM_contig_2339218.region001	2590
FJ_XM_contig_23820639.region001	2593
FJ_XM_contig_25900302.region001	2605
FJ_XM_contig_26919777.region001	2611
FJ_XM_contig_27339217.region001	2616
FJ_XM_contig_29066785.region001	2632
FJ_XM_contig_29230517.region001	2634
FJ_XM_contig_30747622.region001	2640
FJ_XM_contig_31568087.region001	2646
GD_ST_contig_7343412.region001	2646
GD_ZH_contig_12231403.region001	2646
GD_ZH_contig_5459268.region001	2646
HN_SY_contig_33701425.region001	2646
FJ_XM_contig_32716294.region001	2662
FJ_XM_contig_33317161.region001	2665
FJ_XM_contig_33598111.region001	2666
FJ_XM_contig_34836434.region001	2671
FJ_XM_contig_19654613.region001	2674
FJ_XM_contig_24056359.region001	2674
FJ_XM_contig_35297930.region001	2674
FJ_XM_contig_8721333.region001	2674
GD_ST_contig_8457.region001	2674
FJ_XM_contig_10660009.region001	2680
FJ_XM_contig_35879681.region001	2680
FJ_XM_contig_3662638.region001	2684
GD_ST_contig_12404646.region001	2684
GD_ST_contig_17553164.region001	2684
GD_ZH_contig_25795230.region001	2684
HN_SY_contig_21762171.region001	2684
LN_DD_contig_11320953.region001	2684
LN_DD_contig_12762711.region001	2684
LN_DD_contig_8403664.region001	2684
BGC0000647	2690
FJ_XM_contig_4160175.region001	2690
GX_BH_contig_29231792.region001	2690
HN_SY_contig_2622682.region001	2690
SD_QD_contig_5713408.region001	2690
ZJ_NB_contig_8313199.region001	2690
FJ_XM_contig_4504830.region001	2692
FJ_XM_contig_4820912.region001	2696
FJ_XM_contig_491829.region001	2697
FJ_XM_contig_5486638.region001	2702
FJ_XM_contig_6746499.region001	2717
GD_ZH_contig_16505061.region001	2717
HN_SY_contig_33189836.region001	2717
FJ_XM_contig_7776751.region001	2736
JS_LYG_contig_2332644.region001	2736
FJ_XM_contig_8266378.region001	2743
FJ_XM_contig_8480053.region001	2745
FJ_XM_contig_8693419.region001	2748
GD_ST_contig_10120920.region001	2762
GD_ST_contig_10435046.region001	2767
GD_ST_contig_11014047.region001	2767
SD_DY_contig_2684340.region001	2767
GD_ST_contig_1098416.region001	2779
GD_ST_contig_11026979.region001	2782
GD_ST_contig_11083731.region001	2785
FJ_XM_contig_7168626.region001	2795
GD_ST_contig_11709928.region001	2795
