#BGC Name	Family Number
BGC0000160	149
BGC0000182	170
BGC0000186	173
BGC0000282	263
BGC0000457	428
BGC0000472	441
BGC0001505	441
BGC0000554	515
BGC0000634	600
BGC0000643	600
BGC0000646	603
BGC0000647	604
BGC0000656	612
BGC0000836	776
BGC0000837	777
BGC0000839	779
BGC0000852	791
BGC0000853	792
BGC0002052	792
BGC0000858	797
BGC0000854	798
BGC0000855	798
BGC0000856	798
BGC0000857	798
BGC0000859	798
JS_YC_contig_19434503.region001	798
BGC0000860	799
SD_DY_contig_13247960.region001	799
SD_DY_contig_26276020.region001	799
BGC0000984	920
GX_BH_contig_21884561.region001	920
BGC0001031	965
BGC0001032	965
BGC0001091	1022
BGC0001099	1027
BGC0001100	1028
BGC0001160	1080
BGC0001161	1083
BGC0001162	1083
BGC0001163	1083
BGC0001164	1084
BGC0001181	1099
BGC0001244	1158
BGC0001273	1177
BGC0001275	1178
BGC0001276	1178
BGC0000940	1337
BGC0000941	1337
BGC0001453	1337
BGC0001478	1337
BGC0002305	1337
BGC0001470	1353
BGC0001531	1411
BGC0001572	1449
BGC0001751	1613
BGC0001831	1685
BGC0001964	1795
BGC0001970	1801
BGC0001971	1801
BGC0002001	1826
BGC0002008	1832
BGC0002174	1982
BGC0002229	2029
BGC0002416	2195
BGC0002417	2196
BGC0002420	2196
BGC0002419	2198
BGC0002528	2300
BGC0002580	2348
BGC0002620	2381
BGC0002629	2389
BGC0002690	2445
FJ_XM_contig_10026664.region001	2489
FJ_XM_contig_10044379.region001	2490
FJ_XM_contig_10128802.region001	2491
FJ_XM_contig_13316343.region001	2491
FJ_XM_contig_7801046.region001	2491
GD_ST_contig_20467069.region001	2491
HN_SY_contig_19066928.region001	2491
JS_LYG_contig_2628360.region001	2491
SD_DY_contig_6704518.region001	2491
FJ_XM_contig_10132429.region001	2492
JS_LYG_contig_23132518.region001	2492
FJ_XM_contig_10675464.region001	2495
FJ_XM_contig_10934369.region001	2496
FJ_XM_contig_11001222.region001	2497
FJ_XM_contig_11009009.region001	2498
FJ_XM_contig_11120126.region001	2500
FJ_XM_contig_11343955.region001	2501
FJ_XM_contig_11514634.region001	2502
ZJ_NB_contig_12908492.region001	2502
ZJ_NB_contig_17010780.region001	2502
FJ_XM_contig_11520959.region001	2503
FJ_XM_contig_11914131.region001	2504
GD_ZH_contig_5428584.region001	2504
FJ_XM_contig_1220094.region001	2506
FJ_XM_contig_12307327.region001	2507
FJ_XM_contig_12462442.region001	2508
FJ_XM_contig_12505267.region001	2509
FJ_XM_contig_12628977.region001	2511
FJ_XM_contig_12644272.region001	2512
FJ_XM_contig_1301060.region001	2513
FJ_XM_contig_13095689.region001	2514
FJ_XM_contig_13288344.region001	2517
FJ_XM_contig_13514961.region001	2519
FJ_XM_contig_1376143.region001	2522
FJ_XM_contig_13798369.region001	2523
FJ_XM_contig_14091814.region001	2524
FJ_XM_contig_1417584.region001	2526
FJ_XM_contig_14185730.region001	2527
FJ_XM_contig_26017293.region001	2527
LN_DD_contig_17443689.region001	2527
SD_DY_contig_3734967.region001	2527
ZJ_WZ_contig_15024312.region001	2527
ZJ_WZ_contig_7138857.region001	2527
FJ_XM_contig_14531313.region001	2529
FJ_XM_contig_14707418.region001	2532
FJ_XM_contig_14753958.region001	2533
