gcf_id	id_in_run	clustering_id	bgc_id	bgc_name	membership_value
41	41	1	2317	GD_ZH_contig_14237595/GD_ZH_contig_14237595.region001	1.04316563754939
504	504	1	2976	GX_BH_contig_6501964/GX_BH_contig_6501964.region001	0.659814374397743
6	6	1	7070	SD_QD_contig_4248765/SD_QD_contig_4248765.region001	0.753102157839931
386	386	1	2440	GD_ZH_contig_22435661/GD_ZH_contig_22435661.region001	1.03038106385122
10	10	1	3697	HN_SY_contig_13876404/HN_SY_contig_13876404.region001	0.968719730203087
471	471	1	7372	ZJ_NB_contig_11184934/ZJ_NB_contig_11184934.region001	1.05058725276854
55	55	1	4795	SD_DY_contig_6856395/SD_DY_contig_6856395.region001	1.3570167803984
41	41	1	1851	GD_ST_contig_11935332/GD_ST_contig_11935332.region001	0.927492956417884
105	105	1	2105	GD_ST_contig_5235024/GD_ST_contig_5235024.region001	0.596074156810757
528	528	1	4782	LN_DD_contig_9429121/LN_DD_contig_9429121.region001	1.31271763149361
37	37	1	5904	SD_DY_contig_22778299/SD_DY_contig_22778299.region001	0.846883033639433
504	504	1	3057	HN_SY_contig_29585164/HN_SY_contig_29585164.region001	0.793965729625767
400	400	1	3774	HN_SY_contig_34366357/HN_SY_contig_34366357.region001	1.17226653477573
149	149	1	6073	SD_DY_contig_8502397/SD_DY_contig_8502397.region001	1.00885456340725
149	149	1	7379	ZJ_NB_contig_617805/ZJ_NB_contig_617805.region001	1.00885456340725
258	258	1	1728	FJ_XM_contig_11120126/FJ_XM_contig_11120126.region001	1.14276605060377
384	384	1	3013	GX_BH_contig_12133830/GX_BH_contig_12133830.region001	1.09890822646351
14	14	1	3657	HN_SY_contig_1309772/HN_SY_contig_1309772.region001	0.668067959973701
23	23	1	3328	HN_SY_contig_9832194/HN_SY_contig_9832194.region001	0.896845738725425
264	264	1	4460	LN_DD_contig_5942206/LN_DD_contig_5942206.region001	1.06665088232053
504	504	1	2710	GX_BH_contig_6277031/GX_BH_contig_6277031.region001	0.791169487371952
504	504	1	2601	GD_ZH_contig_4712405/GD_ZH_contig_4712405.region001	0.796752158385502
60	60	1	3289	HN_SY_contig_16589996/HN_SY_contig_16589996.region001	1.0866931808622
192	192	1	5319	SD_DY_contig_1061134/SD_DY_contig_1061134.region001	1.06076997990314
38	38	1	4999	SD_DY_contig_15042897/SD_DY_contig_15042897.region001	0.641782493076836
334	334	1	3744	HN_SY_contig_13738128/HN_SY_contig_13738128.region001	0.823054891753102
386	386	1	2960	GX_BH_contig_10265647/GX_BH_contig_10265647.region001	1.04156296255758
55	55	1	3896	JS_LYG_contig_12388118/JS_LYG_contig_12388118.region001	1.3570167803984
55	55	1	6136	SD_DY_contig_3901016/SD_DY_contig_3901016.region001	0.873901504944664
230	230	1	1648	FJ_XM_contig_2339218/FJ_XM_contig_2339218.region001	1.24802237568418
504	504	1	551	JS_YC_contig_13056281/JS_YC_contig_13056281.region001	1.06983305916985
55	55	1	2587	GD_ZH_contig_5289268/GD_ZH_contig_5289268.region001	1.3570167803984
400	400	1	5250	SD_DY_contig_11580069/SD_DY_contig_11580069.region001	1.16085288344572
38	38	1	3137	HN_SY_contig_8849871/HN_SY_contig_8849871.region001	0.980706470152636
264	264	1	1511	FJ_XM_contig_15322387/FJ_XM_contig_15322387.region001	1.09888012033299
8	8	1	3148	HN_SY_contig_4407694/HN_SY_contig_4407694.region001	0.766554681609149
524	524	1	1839	GD_ST_contig_25193699/GD_ST_contig_25193699.region001	1.12930779739985
148	148	1	2060	GD_ST_contig_14512008/GD_ST_contig_14512008.region001	0.970725343394151
14	14	1	2680	GX_BH_contig_32425763/GX_BH_contig_32425763.region001	0.61806377479592
8	8	1	3507	HN_SY_contig_32866753/HN_SY_contig_32866753.region001	0.724950486733151
41	41	1	5280	SD_DY_contig_4757426/SD_DY_contig_4757426.region001	0.995239220494226
24	24	1	7216	ZJ_NB_contig_13651064/ZJ_NB_contig_13651064.region001	0.969239069213577
55	55	1	4333	JS_YC_contig_8045134/JS_YC_contig_8045134.region001	1.3570167803984
192	192	1	6520	SD_DY_contig_13296612/SD_DY_contig_13296612.region001	1.06321906614239
56	56	1	6421	SD_DY_contig_5592559/SD_DY_contig_5592559.region001	0.983822294378268
