bgc_name	genome_name	score	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)	Product Prediction
GX_BH_contig_20069125.region001	GX_BH_bin_10	1.0	100.0	0.67	66.8	211018	6465148	69	5868	634658	0.88434147	f__Comamonadaceae (UID4119)	693	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__		resorcinol
GX_BH_contig_13436386.region001	GX_BH_bin_10	1.0	100.0	0.67	66.8	211018	6465148	69	5868	634658	0.88434147	f__Comamonadaceae (UID4119)	693	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__		RiPP-like
GX_BH_contig_33316885.region001	GX_BH_bin_33	0.9218839954949086	99.67	1.711	65.8	367379	3533260	19	3371	702060	0.893749354	c__Alphaproteobacteria (UID3422)	529	11.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae		betalactone
GX_BH_contig_17258045.region001	GX_BH_bin_33	0.9218839954949086	99.67	1.711	65.8	367379	3533260	19	3371	702060	0.893749354	c__Alphaproteobacteria (UID3422)	529	11.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae		NRPS.NRP-metallophore
GX_BH_contig_33316885.region002	GX_BH_bin_33	0.9218839954949086	99.67	1.711	65.8	367379	3533260	19	3371	702060	0.893749354	c__Alphaproteobacteria (UID3422)	529	11.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae		hydrogen-cyanide
GX_BH_contig_20167490.region002	GX_BH_bin_33	0.9218839954949086	99.67	1.711	65.8	367379	3533260	19	3371	702060	0.893749354	c__Alphaproteobacteria (UID3422)	529	11.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae		lassopeptide
GX_BH_contig_28949178.region001	GX_BH_bin_33	0.9218839887243714	99.67	1.711	65.8	367379	3533260	19	3371	702060	0.893749354	c__Alphaproteobacteria (UID3422)	529	11.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas nasdae		RiPP-like
ZJ_WZ_contig_19701855.region001	ZJ_WZ_bin_17	0.8812162960702818	99.78	0.217	59.2	282406	5231300	47	5057	616648	0.883323691	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Phyllobacterium;s__Phyllobacterium sp900539805	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Phyllobacterium;s__		ectoine
ZJ_WZ_contig_5944164.region001	ZJ_WZ_bin_17	0.8812162960702818	99.78	0.217	59.2	282406	5231300	47	5057	616648	0.883323691	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Phyllobacterium;s__Phyllobacterium sp900539805	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Phyllobacterium;s__		NAPAA.hydrogen-cyanide
ZJ_WZ_contig_2258288.region001	ZJ_WZ_bin_17	0.8812162892997449	99.78	0.217	59.2	282406	5231300	47	5057	616648	0.883323691	c__Alphaproteobacteria (UID3305)	349	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Phyllobacterium;s__Phyllobacterium sp900539805	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Phyllobacterium;s__		RiPP-like
