bgc_name	membership_value	genome_name	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29
FJ_XM_contig_10132429.region001	0.0	FJ_XM_bin_114	65.51	6.896	45.5	16307	2150500	248	2272	75912	0.874566138	k__Bacteria (UID203)	104	20.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__															
GD_ZH_contig_5428584.region001	0.0	GD_ZH_bin_51	96.63	2.521	40.9	89296	2289680	48	2311	243688	0.874689523	k__Bacteria (UID3187)	190	0.0	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__N074bin48;g__N074bin48;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction														
LN_DD_contig_9803951.region001	0.334781300741884	LN_DD_bin_92	77.58	3.619	56.1	4279	2607582	698	2885	18686	0.869198618	o__Oceanospirillales (UID4446)	529	25.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Motiliproteus;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Neptunomonas;s__															
SD_DY_contig_10982070.region001	0.25	SD_DY_bin_422	89.73	3.828	68.0	6295	3417542	699	3667	27588	0.912533329	p__Proteobacteria (UID3214)	190	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__															
ZJ_WZ_contig_3869886.region001	0.0	ZJ_WZ_bin_197	97.86	4.273	65.4	67752	5589428	192	4681	367294	0.866561094	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__FEB-10;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__															
FJ_XM_contig_20067532.region001	0.0	FJ_XM_bin_40	86.86	3.571	46.7	45673	4485280	174	3707	126032	0.926820144	p__Bacteroidetes (UID2605)	316	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__GCA-2748055;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__															
FJ_XM_contig_25903625.region001	0.0	FJ_XM_bin_71	85.71	1.535	59.4	12991	3082739	343	3230	42698	0.899395078	o__Rhizobiales (UID3449)	431	71.43	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__;s__															
FJ_XM_contig_36007956.region001	1.49011611938477e-08	FJ_XM_bin_119	91.72	3.109	64.1	28571	3958555	222	3241	158717	0.918004653	k__Bacteria (UID2982)	230	12.5	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLAD01;f__WLWN01;g__;s__	d__Bacteria;p__Kiritimatiellaeota;c__;o__;f__;g__;s__															
FJ_XM_contig_3842960.region001	0.371500849855822	FJ_XM_bin_79	55.82	8.669	64.1	2737	2148749	790	2587	10276	0.916349194	k__Bacteria (UID3187)	190	62.5	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA1149;f__UBA1149;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__	Sulphate reduction														
SD_QD_contig_28664982.region001	1.49011611938477e-08	SD_QD_bin_13	94.95	2.521	61.9	66900	4380380	134	3969	191835	0.899886133	k__Bacteria (UID3187)	190	0.0	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA1149;f__UBA1149;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__	Sulphate reduction														
FJ_XM_contig_6476499.region001	0.0	FJ_XM_bin_40	86.86	3.571	46.7	45673	4485280	174	3707	126032	0.926820144	p__Bacteroidetes (UID2605)	316	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__GCA-2748055;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__															
ZJ_WZ_contig_10680920.region001	0.0	ZJ_WZ_bin_228	96.77	2.214	68.2	44455	3509831	123	3441	138327	0.905522045	k__Bacteria (UID1453)	171	25.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__UBA6912;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__															
FJ_XM_contig_7002625.region001	0.133630620956213	FJ_XM_bin_75	76.0	3.571	41.9	18617	1591569	172	1701	53435	0.892525773	k__Bacteria (UID3187)	190	20.0	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__N074bin48;g__N074bin48;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction														
