bgc_name	membership_value	genome_name	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29
FJ_XM_contig_10132429.region001	0.0	FJ_XM_bin_114	0.2981277981277982	0.695371584148432	0.3058252427184467	0.038948809197919515	0.1196651304649769	0.11773778920308484	0.15857079580688027	0.09881477536862861	0.5310205529380182	k__Bacteria (UID203)	0.006745362563237774	0.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__BMS3Bbin11;g__BMS3Bbin11;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GD_ZH_contig_5428584.region001	0.0	GD_ZH_bin_51	0.9314204314204313	0.2542099425229404	0.19417475728155342	0.2387544483985765	0.13645154415587846	0.014910025706940874	0.16432895319651558	0.3402868430710775	0.5319158056823031	k__Bacteria (UID3187)	0.15177065767284992	0.0	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__N074bin48;g__N074bin48;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LN_DD_contig_9803951.region001	0.840889795359215	LN_DD_bin_92	0.5437525437525437	0.3649289099526067	0.5631067961165049	0.006022447303586094	0.17479350769349153	0.3491002570694087	0.24907721836704563	0.016452098070681702	0.4920750813652582	o__Oceanospirillales (UID4446)	0.7234401349072512	0.25	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Motiliproteus;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Neptunomonas;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SD_DY_contig_10982070.region001	0.627939638127773	SD_DY_bin_422	0.791005291005291	0.38600383180397296	0.8519417475728157	0.011541199014508624	0.2724822821803619	0.3496143958868895	0.36453565628229734	0.02926432596196055	0.8065016238586723	p__Proteobacteria (UID3214)	0.15177065767284992	0.3333	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJ_WZ_contig_3869886.region001	0.0	ZJ_WZ_bin_197	0.9564509564509565	0.43087627306645154	0.7888349514563109	0.17977826444018616	0.5344321089189552	0.08894601542416453	0.5142477484128156	0.5181871172487245	0.4729378231967801	k__Bacteria (UID3187)	0.14839797639123103	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__FEB-10;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ_XM_contig_20067532.region001	0.0	FJ_XM_bin_40	0.7326007326007326	0.3600887365130584	0.33495145631067974	0.11933753079660553	0.401261501762887	0.07969151670951156	0.3704414587332054	0.1709501226962961	0.9101634169116609	p__Bacteroidetes (UID2605)	0.3642495784148398	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__GCA-2748055;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ_XM_contig_25903625.region001	0.0	FJ_XM_bin_71	0.7091982091982091	0.15478471311888675	0.6432038834951457	0.029871338625787024	0.2321018994892072	0.1665809768637532	0.3000147645061273	0.05101143486301912	0.7111735429504913	o__Rhizobiales (UID3449)	0.5581787521079258	0.7143	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ_XM_contig_36007956.region001	3.742811907099335e-08	FJ_XM_bin_119	0.8315018315018314	0.31350206715740647	0.7572815533980582	0.0725212154393649	0.33773352539171214	0.10437017994858612	0.301638860180127	0.21799209850245752	0.8462002730127247	k__Bacteria (UID2982)	0.21922428330522767	0.125	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__SLAD01;f__WLWN01;g__;s__	d__Bacteria;p__Kiritimatiellaeota;c__;o__;f__;g__;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ_XM_contig_3842960.region001	0.9331204368905	FJ_XM_bin_79	0.10093610093610095	0.8741554905717456	0.7572815533980582	0.0018012592389816588	0.11945394343830089	0.39640102827763496	0.20507899010778088	0.004347982527471737	0.8341886491297457	k__Bacteria (UID3187)	0.15177065767284992	0.625	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA1149;f__UBA1149;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__	Sulphate reduction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SD_QD_contig_28664982.region001	3.742811907099335e-08	SD_QD_bin_13	0.8972323972323973	0.2542099425229404	0.7038834951456311	0.17744593484807009	0.38860957766333554	0.05912596401028278	0.4091244647866529	0.2656572707450292	0.7147365233479863	k__Bacteria (UID3187)	0.15177065767284992	0.0	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA1149;f__UBA1149;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__	Sulphate reduction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ_XM_contig_6476499.region001	0.0	FJ_XM_bin_40	0.7326007326007326	0.3600887365130584	0.33495145631067974	0.11933753079660553	0.401261501762887	0.07969151670951156	0.3704414587332054	0.1709501226962961	0.9101634169116609	p__Bacteroidetes (UID2605)	0.3642495784148398	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__GCA-2748055;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJ_WZ_contig_10680920.region001	0.0	ZJ_WZ_bin_228	0.9342694342694342	0.22325299989916306	0.8567961165048545	0.1160032849712565	0.28361320137219703	0.05347043701799486	0.33116787243466705	0.18864573513431826	0.7556293845916473	k__Bacteria (UID1453)	0.11973018549747048	0.25	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__UBA6912;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ_XM_contig_7002625.region001	0.33564785506413597	FJ_XM_bin_75	0.5115995115995116	0.3600887365130584	0.2184466019417476	0.04527237886668491	0.05225280835929149	0.07866323907455013	0.07426546582016831	0.0664646915321565	0.6613314701492512	k__Bacteria (UID3187)	0.15177065767284992	0.2	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__N074bin48;g__N074bin48;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GD_ZH_contig_17764897.region001	3.742811907099335e-08	GD_ZH_bin_51	0.9314204314204313	0.2542099425229404	0.19417475728155342	0.2387544483985765	0.13645154415587846	0.014910025706940874	0.16432895319651558	0.3402868430710775	0.5319158056823031	k__Bacteria (UID3187)	0.15177065767284992	0.0	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__N074bin48;g__N074bin48;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
