BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000611	BGC0000611	Streptomyces sioyaensis strain ATCC 13989 siomycin biosynthesis gene cluster, complete sequence	thiopeptide.terpene.LAP	Others	Streptomyces sioyaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000630	BGC0000630	Paracoccus haeundaensis astaxanthin biosynthesis gene cluster, complete sequence	terpene	Terpene	Paracoccus haeundaensis	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
BGC0000631	BGC0000631	Botrytis cinerea B05.10 chromosome BCIN12, complete sequence	terpene	Terpene	Botrytis cinerea B05.10	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
BGC0000632	BGC0000632	Nocardia terpenica strain IFM 0406 genomic scaffold scaffold2, whole genome shotgun sequence	terpene	Terpene	Nocardia terpenica	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
BGC0000633	BGC0000633	Streptomyces avermitilis carotenoid biosynthetic gene cluster	terpene	Terpene	Streptomyces avermitilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000634	BGC0000634	Brevundimonas sp. NBRC 101024 carotenoid biosynthesis gene cluster (orf1, crtW, crtY, crtI, crtB, orf6, orf7, crtE, idi, crtZ, crtG, orf12), complete cds	terpene	Terpene	Brevundimonas sp. NBRC 101024	Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,unclassified Brevundimonas
BGC0000635	BGC0000635	Paracoccus sp. N81106 carotenoid biosynthesis gene cluster (idi, crtW, crtZ, crtY, crtI, crtB, crtE, crtX), complete cds	terpene	Terpene	Paracoccus sp. N81106	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,unclassified Paracoccus (in: Bacteria)
BGC0000636	BGC0000636	Brevibacterium linens carotenoid biosynthetic gene cluster, complete sequence	terpene	Terpene	Brevibacterium linens	Bacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
BGC0000637	BGC0000637	Brevibacterium flavum carotenoid biosynthesis gene cluster, partial sequence	terpene	Terpene	Corynebacterium glutamicum	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
BGC0000638	BGC0000638	Pantoea ananatis carotenoid biosynthesis gene cluster (crtE, crtX, crtY, crtI, crtB, crtZ), complete cds	terpene	Terpene	Pantoea ananatis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
BGC0000639	BGC0000639	Enterobacteriaceae bacterium DC260 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Enterobacteriaceae bacterium DC260	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
BGC0000640	BGC0000640	Enterobacteriaceae bacterium DC404 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Enterobacteriaceae bacterium DC404	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
BGC0000641	BGC0000641	Enterobacteriaceae bacterium DC416 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Enterobacteriaceae bacterium DC416	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
BGC0000642	BGC0000642	Enterobacteriaceae bacterium DC413 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Enterobacteriaceae bacterium DC413	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
BGC0000643	BGC0000643	Brevundimonas vesicularis carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Brevundimonas vesicularis	Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
BGC0000644	BGC0000644	Dietzia sp. CQ4 C50 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Dietzia sp. CQ4	Bacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,unclassified Dietzia
BGC0000645	BGC0000645	Halobacillus halophilus strain DSM 2266 carotenoid biosynthesis gene cluster, complete sequence	terpene	Terpene	Halobacillus halophilus DSM 2266	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus
BGC0000646	BGC0000646	Uncultured bacterium clone RM3 carotenoid biosynthetic gene cluster, complete sequence	terpene	Terpene	uncultured bacterium	Bacteria,environmental samples
BGC0000647	BGC0000647	carotenoid gene cluster: crtI=phytoene desaturase, crtB=phytoene synthase [Rhodobacter sphaeroides, Genomic, 3084 nt]	terpene	Terpene	Cereibacter sphaeroides	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter
BGC0000648	BGC0000648	Myxococcus xanthus carotenoid gene cluster	terpene	Terpene	Myxococcus xanthus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus
BGC0000649	BGC0000649	Streptomyces griseus strain IFO13350 carotinoid biosynthesis gene cluster, complete sequence	terpene	Terpene	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
