#BGC Name	Family Number
BGC0000853	792
BGC0002052	792
BGC0000852	798
BGC0000854	798
BGC0000855	798
BGC0000856	798
BGC0000857	798
BGC0000858	798
BGC0000859	798
JS_YC_contig_10349015.region001	798
SD_DY_contig_22735926.region001	798
SD_DY_contig_24157704.region001	798
ZJ_NB_contig_6693270.region001	798
BGC0000860	799
FJ_XM_contig_8771700.region001	2502
GD_ST_contig_15982840.region001	2503
FJ_XM_contig_27801339.region001	2504
GD_ST_contig_16683047.region001	2504
GD_ST_contig_21330448.region001	2507
GD_ST_contig_22097523.region001	2508
GD_ST_contig_6032448.region001	2512
GD_ST_contig_6145992.region001	2513
GD_ZH_contig_10806400.region001	2517
GD_ZH_contig_11035848.region001	2519
GD_ZH_contig_14663506.region001	2530
GD_ZH_contig_15688152.region001	2538
GD_ZH_contig_17588901.region001	2539
GD_ZH_contig_17844912.region001	2541
GD_ZH_contig_18011661.region001	2543
GD_ZH_contig_18666303.region001	2546
GD_ZH_contig_18671642.region001	2547
GD_ZH_contig_22835732.region001	2563
GD_ZH_contig_23225507.region001	2563
GD_ZH_contig_25188772.region001	2572
GD_ZH_contig_25377072.region001	2574
ZJ_WZ_contig_1545005.region001	2574
GD_ZH_contig_6197109.region001	2591
GD_ZH_contig_6558738.region001	2593
GD_ZH_contig_7586902.region001	2596
GD_ZH_contig_9330416.region001	2606
GX_BH_contig_15115072.region001	2617
GX_BH_contig_16674494.region001	2621
GX_BH_contig_17258045.region001	2623
GX_BH_contig_20069125.region001	2629
GX_BH_contig_22412940.region001	2632
GX_BH_contig_24093332.region001	2634
GX_BH_contig_2507503.region001	2635
GX_BH_contig_2003671.region001	2640
GX_BH_contig_30578862.region001	2640
GX_BH_contig_33316885.region001	2641
GX_BH_contig_33316885.region002	2642
GX_BH_contig_3800177.region001	2645
ZJ_NB_contig_4165638.region001	2645
GX_BH_contig_8722246.region001	2648
HN_SY_contig_13408442.region001	2658
HN_SY_contig_15857317.region001	2661
HN_SY_contig_1967976.region001	2663
HN_SY_contig_21286057.region001	2665
HN_SY_contig_28694619.region001	2666
HN_SY_contig_34022348.region001	2676
GX_BH_contig_17570548.region001	2679
HN_SY_contig_28974166.region001	2679
HN_SY_contig_32799665.region001	2679
HN_SY_contig_6240856.region001	2679
HN_SY_contig_9012423.region001	2680
JS_LYG_contig_12331029.region001	2682
JS_LYG_contig_16798679.region001	2686
JS_YC_contig_10194482.region001	2697
JS_YC_contig_10765259.region001	2701
JS_YC_contig_12761478.region001	2704
JS_YC_contig_16027063.region001	2713
JS_YC_contig_16118866.region001	2716
JS_YC_contig_1759837.region001	2719
FJ_XM_contig_32342001.region001	2723
JS_YC_contig_19917638.region001	2723
SD_QD_contig_19928046.region001	2723
JS_YC_contig_21700320.region001	2732
JS_YC_contig_21968682.region001	2733
JS_YC_contig_7916021.region001	2733
JS_YC_contig_23261027.region001	2740
JS_YC_contig_26309391.region001	2744
JS_YC_contig_27825207.region001	2748
JS_YC_contig_3083345.region001	2750
JS_YC_contig_417906.region002	2751
JS_YC_contig_4584440.region001	2753
JS_YC_contig_620288.region001	2758
JS_YC_contig_6238280.region001	2759
JS_YC_contig_6459982.region001	2762
JS_YC_contig_8086252.region001	2769
JS_YC_contig_8293924.region001	2769
JS_YC_contig_9188131.region001	2775
JS_YC_contig_9844050.region001	2778
LN_DD_contig_10495670.region001	2779
LN_DD_contig_11412531.region001	2784
LN_DD_contig_16136461.region001	2796
LN_DD_contig_1643.region001	2797
LN_DD_contig_17408839.region001	2799
LN_DD_contig_20663041.region002	2807
LN_DD_contig_21871493.region001	2810
LN_DD_contig_21872672.region001	2811
LN_DD_contig_25544868.region001	2816
LN_DD_contig_19921525.region001	2820
LN_DD_contig_5281645.region001	2820
SD_QD_contig_27772578.region001	2820
LN_DD_contig_5684987.region002	2822
LN_DD_contig_7332852.region001	2824
GD_ZH_contig_20469917.region001	2825
LN_DD_contig_20871048.region001	2825
SD_DY_contig_10578473.region001	2825
ZJ_WZ_contig_24981772.region001	2825
SD_DY_contig_12608734.region001	2830
SD_DY_contig_13237343.region001	2835
SD_DY_contig_136613.region001	2836
SD_DY_contig_13983864.region001	2837
SD_DY_contig_15382486.region001	2842
SD_DY_contig_15429925.region001	2843
SD_DY_contig_1601259.region001	2847
SD_DY_contig_17750195.region001	2847
SD_DY_contig_18297150.region001	2847
SD_DY_contig_18442958.region001	2847
SD_DY_contig_16172338.region001	2848
GX_BH_contig_9705425.region001	2849
SD_DY_contig_16568199.region001	2849
SD_DY_contig_21552269.region001	2865
SD_DY_contig_22020953.region001	2871
SD_DY_contig_22674571.region001	2877
SD_DY_contig_22986715.region001	2880
SD_DY_contig_24158636.region001	2891
SD_DY_contig_24905932.region001	2893
SD_DY_contig_25877942.region001	2899
SD_DY_contig_27995665.region001	2908
SD_QD_contig_26962256.region001	2908
SD_DY_contig_2945408.region001	2913
SD_DY_contig_4124005.region001	2916
SD_DY_contig_4745015.region001	2919
SD_DY_contig_5485583.region001	2923
SD_DY_contig_7053520.region001	2932
SD_DY_contig_7993784.region001	2936
SD_DY_contig_80486.region001	2937
SD_DY_contig_8787890.region001	2945
SD_DY_contig_88252.region001	2946
SD_DY_contig_8928799.region001	2948
SD_QD_contig_1140820.region001	2957
SD_QD_contig_118407.region001	2958
LN_DD_contig_1340730.region001	2959
SD_QD_contig_11888979.region001	2959
SD_QD_contig_12638362.region001	2960
JS_YC_contig_20584320.region001	2961
SD_QD_contig_12638362.region002	2961
SD_QD_contig_13582417.region001	2963
SD_QD_contig_14356132.region001	2965
SD_QD_contig_18123446.region002	2974
FJ_XM_contig_15138506.region001	2977
SD_QD_contig_2381810.region001	2977
JS_LYG_contig_5413384.region001	2979
SD_QD_contig_24592380.region001	2979
SD_QD_contig_28664982.region001	2986
SD_QD_contig_26898904.region001	2987
SD_QD_contig_30170427.region001	2987
SD_QD_contig_8242568.region001	2994
ZJ_NB_contig_12971323.region001	3003
ZJ_NB_contig_16271411.region001	3013
SD_DY_contig_20517722.region001	3014
ZJ_NB_contig_16564760.region001	3014
ZJ_NB_contig_22754226.region001	3023
ZJ_NB_contig_22832207.region001	3025
ZJ_NB_contig_26179855.region001	3031
GD_ZH_contig_10997029.region001	3035
ZJ_NB_contig_3746119.region001	3035
ZJ_NB_contig_3812857.region001	3036
ZJ_NB_contig_3828479.region001	3037
ZJ_NB_contig_5616585.region001	3045
ZJ_NB_contig_6926139.region001	3050
ZJ_WZ_contig_10004541.region001	3050
ZJ_NB_contig_878734.region001	3054
GD_ZH_contig_19077924.region001	3056
ZJ_NB_contig_9590778.region001	3056
ZJ_WZ_contig_1042638.region001	3059
ZJ_WZ_contig_12303620.region001	3066
ZJ_WZ_contig_12702479.region001	3067
ZJ_WZ_contig_15215092.region001	3077
ZJ_WZ_contig_17494129.region001	3082
ZJ_WZ_contig_17632295.region001	3083
ZJ_WZ_contig_19701855.region001	3089
